city	meeting	humanReview	n_utt	n_user	n_task	n_none	frac_user	n_seg	frac_seg_user
samothraki	may9_2026	True	717	369	77	271	0.5146443514644351	17	0.8235294117647058
samothraki	nov19_2025	True	4144	2136	0	2008	0.5154440154440154	601	0.8835274542429284
sparta	jan20_2026	True	152	83	18	51	0.5460526315789473	14	0.8571428571428571
athens	apr22_2026	True	4896	2690	414	1792	0.5494281045751634	586	0.909556313993174
athens	mar16_2026	True	657	371	47	239	0.5646879756468798	197	0.8324873096446701
athens	jan19_4_2026	True	634	361	83	190	0.5694006309148265	47	0.9361702127659575
argos	dec29_2025	True	28	16	8	4	0.5714285714285714	5	1.0
xylokastro	jan28_2026	True	84	51	6	27	0.6071428571428571	9	0.7777777777777778
argos	oct31__2_2025	False	741	474	101	166	0.6396761133603239	99	0.9696969696969697
sparta	apr15_2026	True	184	121	15	48	0.657608695652174	19	0.9473684210526315
argos	jan30_2026	True	122	86	10	26	0.7049180327868853	52	0.9038461538461539
xylokastro	mar12_2025	False	250	248	0	2	0.992	35	1.0
